Username,Likes,Date,Text
Rahul Saroj,0,2023-09-24T03:49:58Z,"Despite being busy, taking time out to watch the video shows our love for Kaka.  ❤"
Raqib Khan,0,2023-09-24T03:48:36Z,Sense of humour bht acha h kaka ka❤
Aditya G17,0,2023-09-24T03:47:28Z,Last ki 45sec mst lgi
official ukm creation,0,2023-09-24T03:38:40Z,Kaka red wali dekhao
Venky OG,0,2023-09-24T03:36:59Z,"haha, what a fun interview 😂<br>uday ko bolo chai jaldi laye"
Nk Dhakad47,1,2023-09-24T03:31:28Z,Sidhu moose wala Moose wala hoyi payi hai 💥❣️
Nk Dhakad47,1,2023-09-24T03:31:10Z,We Miss u Sidhu bhai 🥺❣️
Nk Dhakad47,1,2023-09-24T03:30:58Z,Only one King Sidhu moose wala 👑❣️
Deepak Sharma,0,2023-09-24T03:28:40Z,Atleast he can sing without autotune in public unlike other singers.
Deepak Sharma,0,2023-09-24T03:28:29Z,Atleast he can sing without autotune in public unlike other singers.
Tarun shrivastav,0,2023-09-24T03:28:28Z,kaka is like me  in talking 😂
Akshat Rai,0,2023-09-24T03:26:56Z,No use autotune  use he is real singer
Ankush Mehta,0,2023-09-24T03:26:36Z,badiya lagya veere kake bhai denaal mil ke te office wale bhi sare change lage
Gurpreet_Anhad Singh Sasan,0,2023-09-24T03:23:31Z,Punjabi
Vineet Tejee,0,2023-09-24T03:21:23Z,We love you kaka❤❤❤  rabb chardi kalah vich rakhe 🙏
Amrinderpal Singh Jazzy,0,2023-09-24T03:18:19Z,Siraaa banda kaka🙏🙏🙏🙏
SARFARAZ SARKAR,0,2023-09-24T03:17:53Z,bhai itta down to earrh naturally bhai wahhh mtlb respect b hai
chandrashekhar joshi,0,2023-09-24T03:14:20Z,Dajyu naukari pe rakh lo hume bhi khusi khusi sare kam karunga
Hello,0,2023-09-24T03:13:02Z,"<a href=""https://youtu.be/gh8igEERnzw?si=L-WY2vMipcLRfZf-"">https://youtu.be/gh8igEERnzw?si=L-WY2vMipcLRfZf-</a>"
Gamer All in one,0,2023-09-24T03:12:19Z,Bhai cartoon mat bolo vo anime he Itahi name hai 😊🎉
Vipin Rai,0,2023-09-24T02:54:12Z,Very nice
KAMAL THAPA,0,2023-09-24T02:53:23Z,Waah🎉
Lalit Kumar,0,2023-09-24T02:50:50Z,"Pichhe jo lal kpde Me madam h unhone 40min tak bal bandhe rhne diye fir unko lga ki aise achhi nhi lg rhi to chupke se khol liye , 😊"
vikas chander,1,2023-09-24T02:44:49Z,Noted: FIR no use. Kash koi  police wala ye baat sune
varinder singh,0,2023-09-24T02:27:19Z,59 min ki video dekh li mane matlab fr ni pata chala billo bagga biliyan da ki kare gi kisko pata hai to btyo yar😢
Jagroop Singh,0,2023-09-24T02:27:06Z,Lod to jiada mature banda❤️
Harjinder Maan,0,2023-09-24T02:22:28Z,Nice guy Trivedi Saab
PARMOD WRITES,0,2023-09-24T02:13:56Z,Sir dr. satinder sartaj ji ko bhi bulwao kabhi
SAM,0,2023-09-24T02:05:38Z,I worked whole night was going to bed scrolling my phone and this vedio pop up now i am unable sleep and watched this full interview...
Bijendra Singh,0,2023-09-24T02:04:10Z,8 saal ka bacha bhi nasha krta he punjab me
Mehul Bihar vlog,0,2023-09-24T02:02:19Z,I like
Bijendra Singh,0,2023-09-24T02:02:01Z,Me jaat hu but sabse phle me sanatani hindu hu jai hindu rastra ki
Sonali Thakur,0,2023-09-24T02:01:05Z,Kaka🖤🖤🖤🖤🖤🖤🖤🖤🖤
Ashish Kumar,0,2023-09-24T01:58:14Z,Ye partiality achi ni lallantop ki... Kaka ko bethne k liye seat ni di.. baaki sb ko dete ho
Bijendra Singh,0,2023-09-24T01:56:49Z,Afeem ke baad ek cup che oh kaint he veere white punjab
Bijendra Singh,0,2023-09-24T01:55:27Z,Faka oversmart ban rha he ye sab nhi chalta bhai
Bijendra Singh,0,2023-09-24T01:53:06Z,Bhai hindi punjabi mix krke song ga fir dekh dhamaka
Alfaaz.   2.2M,0,2023-09-24T01:49:01Z,Shidumoosewal🔥❤
Bijendra Singh,0,2023-09-24T01:46:13Z,Sab hindi bol rahe he fir isko kya dikkat he
Bijendra Singh,0,2023-09-24T01:39:35Z,Sab staff ko Jai shree ram
Tanuj Negi,0,2023-09-24T01:34:05Z,Hindi nahi bola jara hai in logo se . Isse jyada sharm ki baat Kya hogi in besharmo ke liye .
Rahul Dilwala,0,2023-09-24T01:34:02Z,Gana aisa banao ki 4 log sune❤
Rahul Ahir,0,2023-09-24T01:30:27Z,Thodaka correction as a gujarati krna chahta hu m BHUKKI mean Chai Patti in gujarati. Ye koi afeem jesi chiz nahi h 😅
Sumit Kumar,0,2023-09-24T01:29:46Z,"Pahle mujhe inke gane utni pasand nahi thi, lekin lalantop interviwe k baad mujhe pasand ane laga..<br>banda bada changa si.. love from Bihari..❤<br>Going to follow him at all social media 😉"
Govind Singh,0,2023-09-24T01:29:10Z,Sorabh ji khalistan te sawaal nahi puccha
Shiv Bilaal,0,2023-09-24T01:29:04Z,Bai salute aa tainu tu punjabi nhi chdi thnks bai punjabi bchaun lyi❤❤❤
Zafar Ibjal,0,2023-09-24T01:08:43Z,One of the best i have seen. Such natural person
zare info,0,2023-09-24T01:07:42Z,बिल्लो बग्गे बिल्लेयां दा की करेंगी<br>बग्गे बग्गे बिल्लेयां दा की करेंगी<br>बिल्लो बग्गे बिल्लेयां दा की करेंगी<br>नी मेरा मारदा उबाले खून अंग अंग तों<br>हो…<br><br>काले जेहे लिबास दी शौकीनंन कुड़ी<br>दूर दूर जावे मेरे काले रंग तों<br>काले जेहे लिबास दी शौकीनंन कुड़ी<br>दूर दूर जावे मेरे काले रंग तों<br><br>काला सूट पावे जदों लगदी आ केहर<br>लग्गे ज़हर साड्डे दिल नू चढाएंगी<br>Excuse me!
Deep Verma1234,0,2023-09-24T01:03:03Z,artist ki disrespect krta h ye show.......artist saamne h lekin koi bhi kdhaa nhi hotah koi bhi bhau nhi de rha h
Ravinder Singh,0,2023-09-24T00:33:50Z,Kaka ❤
Rajneesh Tiwari,0,2023-09-24T00:33:23Z,Shandaar jabarjast zindabad
Manisha Dhiman,0,2023-09-24T00:04:52Z,Kaka is love ❤
Vikrant Kumar,0,2023-09-23T23:27:04Z,In world of shubh and ap<br><br>We love kaka ..asli indian ❤
Shooter Rabab,0,2023-09-23T23:15:19Z,Lol tatta singer 😂😂
pahadi viking.,0,2023-09-23T22:52:28Z,Kaka supb ...
ansari sohail,0,2023-09-23T22:31:52Z,Deepak closing ❤
BAHUBALI🕶️,0,2023-09-23T22:14:33Z,kaka🔥🔥🔥🔥
Mohtech,0,2023-09-23T21:59:23Z,What a interview @kaka bhai is singer❌ stand up comedian ✅
jatin sony,0,2023-09-23T21:53:49Z,Too good
Haste Raho,0,2023-09-23T21:37:19Z,Boring interview with kaka
Prateek,0,2023-09-23T21:24:07Z,"Isski baatein sunke toh yeh real artist hai, pure at heart!!"
Rahul Chopra,0,2023-09-23T21:14:13Z,Lovely ❤
Rajwinder Singh,0,2023-09-23T21:03:18Z,This Interview should have one more episode.
RN🌍WORLD,0,2023-09-23T21:02:03Z,13 nhi 23 kya yaad bhi nhi rhta aapko
S. FAKIRA,0,2023-09-23T20:57:23Z,the man who ask last question superb
भगोड़ा बालक,0,2023-09-23T20:39:52Z,Kaka ne khud bol Diya hai aaj ki sidhu jaisi vocal kisi bhi artist ki nahi hai.miss u jatta Bai sidhu moosewala love u forever bai❤
Family Time,0,2023-09-23T20:39:51Z,"Sabse best closing , jis jis ko closing oasand aayi wo like kare ye comment"
Raju Kartarpura,0,2023-09-23T20:39:06Z,W kaka 🙌🙌🙌
Mahraj28.5,0,2023-09-23T20:34:00Z,His principals yrr bhot badhiya 🙏🏻♥️🌻
black background,0,2023-09-23T20:32:03Z,Chair bhi to de dete
Rohit Bishnoi,0,2023-09-23T20:31:01Z,"Maja aagya interview dekh ke, ek alag nazariya dekhne ko mila"
Ram Lakhan verma ,0,2023-09-23T20:30:24Z,Song ke lyy...pura video skip kisne kyy??😅
Gurdeep Singh,0,2023-09-23T20:28:40Z,Oh llantop yeh khalistani hai..iska interview kyu liya..punjabi songs mat suno..sambhit patra ka interview kro..aur bhojpuri singers ka interview kro😂😂😂<br>Andhbhakt khush honge fir😂😂
India railways,0,2023-09-23T20:24:43Z,The Boy 😂
Aprhi Porhe,1,2023-09-23T20:21:21Z,Kaaka ji ❤
VRK Vlogs,1,2023-09-23T20:19:29Z,Great Singing ❤
gurpreet singh,0,2023-09-23T20:16:24Z,Itachi
diya khanna,1,2023-09-23T19:56:52Z,"A soulful punjabi  voice , profound  lyrics  with contemprary music  is a new hope of punjab!!! Rajesh Khanna was from Punjab Amritsar hence was also known as  *KAKA*not  KAKA= as in  chacha"
CryptoGenic,0,2023-09-23T19:50:17Z,Please can you invite Dhanaraj Pillay to the guest in the news room show.
FAISAL IQBAL,0,2023-09-23T19:47:11Z,Guest kam se kam ek chair to deserve krta h
Praveen Kumar Singh,0,2023-09-23T19:42:59Z,He is mentally very smart
GUDDU BHAIYYA,0,2023-09-23T19:38:51Z,this episode better than kapil sharma show
शून्य से शिखर तक,0,2023-09-23T19:35:13Z,❤❤
Shivan gyan,0,2023-09-23T19:34:06Z,कोहिनूर बंदा
now@dhruv,0,2023-09-23T19:32:00Z,Thank you the lallantop for bringing kaka he such a pure heart person.
GUDDU BHAIYYA,0,2023-09-23T19:30:42Z,एक इंजीनियर कुछ भी कर सकता है <br>बस इंजीनियरिंग को छोड़ कर <br>ये बात काका ने आज फिर साबित कर दी <br>भाई गायक बन गया <br>इंजीनियर  नहीं बन पाया 😂😂😂<br><br>love you kaka
Chetanya Defence,0,2023-09-23T19:29:11Z,bhai sabse badiya mujhe to Deepak ki ending lgi yrr bhai Deepak Best of luck
Kartik Goswami,2,2023-09-23T19:27:29Z,He is totally 💎 his voice ☮️ lot&#39;s of love to you kaka🧿
Praveen Kumar Singh,0,2023-09-23T19:27:21Z,"&#39;Fer mai soccha ki mera dil tutt gya,... Par nayi tutta&#39;. That sounds laughable but if you think about it, it&#39;s a true holy emotion. Very famously Osho once said &#39;If a person have true emotions to love someone, he can not hold himself to not love someone else because there are a lot of good people around you and if you are a true human you will love everyone whom you interact, who has similar thoughts like you.&#39;"
Jai Hind,0,2023-09-23T19:24:52Z,Singer Kaka looks exactly same like Ankit Bhaiyanpuria of sonipat
Shahabu,0,2023-09-23T19:23:18Z,Last waala banda kon sa padai kiya h hamko bhi karna h q ki me bolta hu to sab gussa ho jaate h
Ashish Arya,0,2023-09-23T19:19:57Z,"<a href=""https://www.youtube.com/watch?v=E37qXV08ef0&amp;t=33m34s"">33:34</a> green check shirt .... bhai lallantop walo inko ek show do .... nice voice and orientation"
Rahul Yadav,0,2023-09-23T19:16:25Z,Kitna jatiwadi hai surab diwedi elvish gaya tha to kitni batmiji kar rahe the ye log
ADIL KHAN,0,2023-09-23T19:15:19Z,Allah
Pradhyuman Singh Bhati,0,2023-09-23T19:14:53Z,Best baithki episode till date
Brar Paris,0,2023-09-23T19:14:49Z,❤
proBHI ,1,2023-09-23T19:12:06Z,Bhilai ko kuch mat bolo bhai .. chattisgarhiya sable bdhiya.
ajay kumar,0,2023-09-23T19:07:53Z,Are sir baithne ke lie koi chair to de dijie <br>Guest h ye aapka
ADIL KHAN,0,2023-09-23T19:07:24Z,Allah
Praveen Kumar Singh,1,2023-09-23T19:07:10Z,"Kaka is god of melody, which is rare to see in punjabi music without auto tune"
Gavy Jahangir,0,2023-09-23T19:06:58Z,"Kaka ❤❤ Punjabi vich Poori interview bhut vdia ,,,,, ❤❤❤❤❤"
Jass Rai,0,2023-09-23T19:03:41Z,Nice video
Basic-funda,0,2023-09-23T19:03:15Z,"Wanted to see long but his punjabi is difficult for me…Jab Hindi channel me ho to Hindi bol lo kaka ji…chalo pura nahi dekh raha stopping it..,gud luck kaka"
Aniket Rana,0,2023-09-23T19:01:32Z,Aajkal media pehle ki trh professional nhi hai
ABHISHEK MUNDA,0,2023-09-23T19:00:42Z,Bahut acha laga
Seema Tanwar,0,2023-09-23T18:59:17Z,🎉🎉🎉lambi race ke ghode agar nhi dekhe ho to kaka ko dekh lo 🎉🎉🎉🎉
Satirical VK,0,2023-09-23T18:58:31Z,What a closing. Show stealer
Irshad Raees,0,2023-09-23T18:58:04Z,Kuchh taa seekh mili aa ajjj love you kaka veeray❤
now@dhruv,0,2023-09-23T18:57:12Z,"Ek bar fir song sunna padega, bohot hi vadiya song hai ❤❤❤❤❤"
